Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
556389197810785,Maria Caulfield,Maria Cotte Caulfield,≤100,2
113393625358878,Liberal International,Liberal International,≤100,2
662595587182278,Angus SNP,Dexter  Turriff Davies,≤100,1
116516659722655,Choc Til You Drop,These ads ran without a disclaimer,≤100,1
147410745953130,"John Edwards, Liberal Democrat in Tarvin & Kelsall",John Edwards and Ted Lush,≤100,1
108993680496690,BaBy Zone UK,Krzysztof Pawel Dobrzynski,≤100,1
801894609939371,Gree UK,Justin James Clarke,≤100,1
116974846355871,Alex Lee for Winklebury & Manydown,Alexander James Lee,≤100,1
106653924063055,Leave or Remain,Christopher Michael Jackson,≤100,2
2152435904850190,Clare Pavitt Labour Candidate for the Kettering Constituency,Clare Patricia M Pavitt,≤100,1
394739821172559,Weetslade Focus Team,Daniel John Elsom,≤100,3
195645871059826,Universal Credit Sufferer - Black Isle Journalism,Universal Credit Sufferer - Black Isle Journalism,≤100,1
110592016996781,Your Guy for High Peak,High Peak Liberal Democrats,≤100,1
452217182218333,Katie Connor,Katie Ann Connor,≤100,5
596461787127777,Peter Szabo,These ads ran without a disclaimer,≤100,2
112286960180239,Bambika,These ads ran without a disclaimer,≤100,1
1050655458352266,Dialogue of Civilizations Research Institute,These ads ran without a disclaimer,≤100,1
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100,1
348317322023581,South Gloucestershire Green Party,Daniel James Johnston,≤100,1
1961722030715955,Hannah O'Neill,MK Labour Party,≤100,1
1433336206973284,UK in a Changing Europe,PROF ANAND . MENON,≤100,1
1442160519144559,Irene Sofia Esser,These ads ran without a disclaimer,≤100,1
162424471000792,Cllr Nitesh Hirani - Kenton East - Conservatives,Nitesh Vishram Hirani,≤100,1
307188559330028,Cold Dead Hands,Cold Dead hands of America,≤100,1
322027274618141,Padiham Community Action,David John Edmondson,≤100,3
105565780861003,Easy Scanner,Anisoara Iatan,≤100,1
1393645650681487,Think-Film Impact Production,Rafael Joseph Cortes,≤100,1
134470653236574,Edinburgh Green Party,Gavin Nelson Corbett,≤100,1
391964664944464,North Heywood Labour,Ana Kozomara,≤100,1
1093221017547229,Otolith,These ads ran without a disclaimer,≤100,1
111953162170257,Burton and Uttoxeter (East Staffordshire) Liberal Democrats,Hugh Gavin Warner,≤100,1
131712588824,Tony Blair Institute for Global Change,Tony Blair Institute for Global Change,≤100,1
576586599051903,Redrok UK,These ads ran without a disclaimer,≤100,1
293864561226540,Paul Bristow,Paul Bristow,≤100,1
1436656116642646,Threadheads,These ads ran without a disclaimer,≤100,3
27139120832,Advancing Native Missions,Advancing Native Missions,≤100,1
386427418234901,Louise Haigh,Louise Haigh,≤100,3
326355221679,Cambridge Centre for Applied Research in Human Trafficking,These ads ran without a disclaimer,≤100,1
23224872234,The Blue Guerilla,TheBlueGuerilla,≤100,3
227725313985797,Midlothian Conservatives,Jonathan Alok Deb,≤100,1
1713052128936874,Driveline GB Ltd,These ads ran without a disclaimer,≤100,1
991011937617366,"Willie Rennie, MSP for North East Fife",William Cowan Rennie,≤100,1
131363313573224,NET Cancer Day,These ads ran without a disclaimer,≤100,1
173149059405085,Derby Hotels Collection,These ads ran without a disclaimer,≤100,2
308844286423747,Yeovil Charity Ball,These ads ran without a disclaimer,≤100,1
515017818555822,Cllr Leigh Redman,Leigh Paul Redman,≤100,1
111962183522015,Smart Sweet Homes,These ads ran without a disclaimer,≤100,6
179100528779193,Silentnight,These ads ran without a disclaimer,≤100,1
691597041284995,Yes2Planet,Martin  Warner,≤100,1
113634282150318,Hillingdon Conservatives,Hillingdon Conservatives,≤100,1
115409526559797,greeklishfoodie,These ads ran without a disclaimer,≤100,1
337787617072748,NOICE,These ads ran without a disclaimer,≤100,1
1646734082210872,Selby Town FC,Selby Town FC,≤100,1
2275997292664042,Brighton Queens Park Labour,Michael James Duncan,≤100,1
807799369244851,Matt Rodda,Carl Doran on behalf of Matt Rodda,≤100,2
1617152471878392,Anglican Mainstream,These ads ran without a disclaimer,≤100,1
112923336722024,Kevin Walsh for Bolton South East,Kevin John Walsh,≤100,1
285148782118363,KPG Recruitment,These ads ran without a disclaimer,≤100,1
