Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
2389668497727588,One Planet Mind,One Planet Mind,229,2
301102333235871,Ben Chapelard,James  Rands,226,11
215232008599719,Stephen Doughty MP,Stephen Doughty,226,13
859886927414336,Surrey Heath Liberal Democrats,Surrey Heath Liberal Democrats,219,4
103239991110199,Shipley against Philip Davies,Jason Keith Evens,218,8
232402830283167,TOTM Organic,These ads ran without a disclaimer,214,2
353097424791073,James Frith for Bury North,Bury North Labour Party,211,2
354496398361633,Norfolk for Europe,Michael John Galsworthy,210,1
1331084736996091,Laura 4 Harlow,George Patrick Elcock,210,3
7715002593,UNICEF UK,These ads ran without a disclaimer,215,7
1860274430859228,Canterbury For Europe,Michael John Galsworthy,208,1
145704119168907,Parabolic Theatre,Parabolic Theatre,210,5
105404177530881,Jamie Macfarlane,Westminster North Conservative Association,206,5
1106278742785368,Cambridge Stays,Michael John Galsworthy,207,1
110498420298163,Bradford Yorkshire for Europe,Michael John Galsworthy,207,1
704907713275504,FIRE Revolution,Third Friday Ltd,210,3
2431506447081933,Stoke-on-Trent for Europe,Michael John Galsworthy,206,1
190077355111985,Bromley for Europe,Michael John Galsworthy,206,1
146549422028829,The TaxPayers' Alliance,The TaxPayers' Alliance,206,4
335643953437522,Zöe Franklin for Guildford,Guildford Liberal Democrats,203,2
367006363463686,Chris Webb,Chris Webb 4 Blackpool North & Cleveleys Campaign,205,9
1652149835054791,Another Europe Is Possible,Another Europe Is Possible,200,2
422183454864472,Max Wilkinson,Cheltenham Liberal Democrats,195,3
985380408144684,"Helen Goodman, Bishop Auckland Constituency",The labour Party,196,2
398900213908681,Tony Lywood for Copeland,The Labour Party,195,3
670304546481949,Lambeth Liberal Democrats,Helen Victoria Thompson,192,1
1540198936249794,Rishi Sunak,Rishi Sunak,193,2
1586027928298600,Votedarrenhenry,Broxtowe Conservative Association,195,9
130987447098320,Sarah Jones - Standing Up for Croydon,Sarah Jones,198,10
587561007950931,Stephen Hammond,Wimbledon Conservatives,186,2
621195561247099,Guildford Conservative Association,Guildford Conservative Association,191,8
1066718423433441,Cornwall for Europe,Michael John Galsworthy,186,1
103740397721897,Gurjit Bains For Walsall South,Gurjjt Kaur Bains,188,9
142202379163151,Emily Thornberry,Emily Thornberry,183,1
101405207871931,Hina Bokhari - Sutton & Cheam's next Lib Dem MP,Sutton Liberal Democrats,181,4
174730252601013,Robert Halfon,Robert Halfon MP,180,3
155710354774360,Momentum,Momentum,188,7
2045558749046932,Merseyside for Europe & Pro-EU events in Liverpool City Region,Michael John Galsworthy,178,1
1442281879390484,Basildon & Thurrock Conservatives Campaign Office,Mark Steven Coxshall,175,1
1082759698472283,North East Surrey for Europe,Michael John Galsworthy,175,2
1776460125741016,Slough for Europe,Michael John Galsworthy,174,1
471499573675066,Highlands for Europe,Michael John Galsworthy,174,1
102161684540123,Devon Climate Emergency,Devon County Council,175,2
475020296594461,Darren Selkus Brexit Party,Darren Bruce Selkus,175,19
101558386889,Shelter Scotland,Shelter Scotland,170,6
110880869622754,European Movement: Milton Keynes,Michael John Galsworthy,165,1
477429412753494,Tom Hunt,Tom Hunt,166,4
131681033513,Possible,10:10 climate action,186,20
1518802811730189,Cold Years,Daniel Mark Smith,171,9
661360614007742,Julie Elliott,The Labour Party,161,3
942382442466848,British Association of Sport and Exercise Medicine - BASEM,British Association of Sport and Exercise Medicine – BASEM,164,2
432339587129823,Jason McCartney for Colne Valley,Colne Valley Conservatives,163,9
749047081829001,Guy Opperman,Northumberland Conservatives,156,2
435340366822684,Kim Caddy,Wandsworth Conservatives,156,3
372509762823054,Clive Efford,Eltham Labour Party,154,4
394329848100558,Jackie Jones MEP,Jackie Jones MEP ASE,151,2
1164193340281834,Stephen Morgan,The Labour Party,150,1
140445935123,BCP Council,BCP Council,150,3
348199775258128,Camden Liberal Democrats,Camden Liberal Democrats,150,4
703958799979138,Simon Letts for Southampton Itchen,The Labour Party,150,1
563041110567227,Berkshire for Europe,Michael John Galsworthy,148,1
379417526259248,Rupert Lowe,Rupert Lowe MEP,149,3
514770188695214,Enfield for Europe,Michael John Galsworthy,148,1
252635975144002,Leo Docherty,Leo Docherty,148,4
197280420419016,Alex Sobel MP,Niky William Rutherford,147,3
2174517772657414,A21 Middle East News,Arabi21 - عربي21,157,4
180021685374062,Alok Sharma,Reading West Conservatives,147,3
2117331068488595,Colchester and Tendring for Europe,Michael John Galsworthy,146,1
105761500802743,Shoreham4eu,Michael John Galsworthy,146,1
1589574984477003,Rebecca Smith,Westminster Digital,146,2
114102639967810,Susan Dungworth for Blyth Valley,The Labour party,145,2
461838560672787,Ealing Stronger In Europe,Michael John Galsworthy,145,1
72633666984,Ealing Liberal Democrats,Ealing Liberal Democrats,146,10
145878302161029,Bradford Council,Bradford Council,141,1
222780324907997,Maidenhead for EU,Michael John Galsworthy,140,1
134394203290779,Our Merton,Liberal Democrats,140,3
1792012947764472,Ruth Alcroft,The Labour Party,141,3
1893441050977918,Ian Sollom,Sarah Elizabeth Kar Yee Cheungjohnson,140,5
383288981854997,Sue Hayman,The Labour Party,141,3
685350048217874,Dehenna Davison for Bishop Auckland,Dehenna Davison for Bishop Auckland,138,2
276285855716427,AJ&Smart,These ads ran without a disclaimer,136,2
999616850056184,Oddbox delivery,Oddbox,171,72
1011556768950016,Colin Martin for SE Cornwall,SE Cornwall Liberal Democrats,138,1
300663396663749,Sally Keeble for Northampton North,Sally Keeble,139,9
105288164219933,Parents' Choice,Richard Patrick Tracey,143,4
1608245282744484,Yorkshire and the Humber Labour Party,the Labour Party,136,1
1852520761657982,4ocean,These ads ran without a disclaimer,130,1
234260143399528,Woking Liberal Democrats,Woking Liberal Democrats,131,2
101106954591401,Martin Daubney,Martin Edward Daubney,129,4
1032353066780968,Catherine McKinnell,The Labour Party,130,3
272988209443,Royston Smith,David John Fuller,128,2
302913953146880,"Office of the North Yorkshire Police, Fire & Crime Commissioner","Office of the Police, Fire & Crime Commissioner for North Yorkshire",126,1
634616933684024,Ipswich for a People's Vote,Michael John Galsworthy,126,1
1313354295370593,Scottish Family Party,Scottish Family Party,127,5
112900486737675,Eddisbury for Europe,Michael John Galsworthy,124,1
104089267702523,Wellingborough for Europe,Michael John Galsworthy,123,1
205878630683,Seasalt Cornwall,These ads ran without a disclaimer,122,1
108499910553006,Johnny Luk,Kun Yip Luk,122,3
419807964889685,Paul Williams MP,The labour Party,123,3
736575886524116,Herefordshire For Europe,Scientists for EU,119,1
389022555250260,Havering4EU,Michael John Galsworthy,118,1
732079243795262,Stirling4Europe,Michael John Galsworthy,117,1
101416521234072,Plymouth Against Brexit,Michael John Galsworthy,118,1
236952220189268,Mypov Online,Hebert Joseph Craig,126,12
345226459213088,Southport for Europe,Michael John Galsworthy,117,1
100789214636066,Bracknell for Europe - Public,Michael John Galsworthy,116,1
246519575907471,New Forest for Europe,Scientists for EU,117,1
104179454270698,Harlow Brexit Party,Neil Brian Greaves,121,14
110786230353184,Northampton for a People's Vote,Michael John Galsworthy,115,2
1805678839537135,Ipswich Young Labour,The Labour Party,117,3
1258479437573420,Mike Amesbury MP,Michael Lee Amesbury,117,5
274624889359101,Winchester Liberal Democrats,Winchester Liberal Democrats,113,5
124181887611335,The City of Edinburgh Council,The City of Edinburgh Council,114,12
333209063761130,Rosie Duffield MP,The Labour Party,110,1
1483848548517428,The UK Union Voice,The UK Union Voice,106,2
325585374755887,Eastleigh for Europe,Michael John Galsworthy,105,1
146831132632710,Mid-Kent 4 EU,Michael John Galsworthy,105,1
184230978956996,Beira Moda,Ms Antonietta Marie Fionda,106,4
314363968926844,Ely for Europe,Michael John Galsworthy,104,1
1876607552621015,Graham Jones,Graham Peter Jones,105,3
121936349543,World Vision UK,World Vision UK,105,1
1677654202509524,Richard Burgon,The Labour Party,105,3
816779408496482,Beth Miller,East Midlands Labour Party,103,2
125430205516668,Pippa Heylings,Sarah Elizabeth Kar Yee Cheungjohnson,102,3
124036308994799,"Right To Rent, Right To Buy, Right To Own",Ms Jennifer Rebecca Powers,109,4
2051121415107568,Bambos Charalambous,London Labour Party,≤100,1
448590345155714,Ipswich Conservatives,Ipswich Conservatives,≤100,1
1566879106896612,Tessa Munt,Wells Liberal Democrats,≤100,1
869176469857369,Lizzi Collinge,The Labour Party,102,1
1498881147066399,Alan Mak,Alan Mak MP,≤100,1
228249960960213,Simon Clarke for Middlesbrough South and East Cleveland,Simon Richard Clarke,≤100,3
107573333962271,Avaaz UK,Avaaz Campaigns UK,≤100,2
182166295552154,Ian Stotesbury,Watford Liberal Democrats,≤100,4
340947279796362,Mario Creatura,Croydon Conservatives,≤100,2
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,116,17
494727620709887,Action for Children Fostering - North,These ads ran without a disclaimer,≤100,1
340733216319520,Ryan Houghton For Aberdeen North,Ryan James Houghton,≤100,2
125815217604740,North Dorset Liberal Democrats,North Dorset Liberal Democrats,≤100,3
177717252277852,Wes Streeting,Matthew Goddin,≤100,1
113548760033476,Dr. Kulvinder Singh Manik,Scott Roberts,≤100,7
1047852948624789,Oxford For Europe,Howard Douglas Aiken,≤100,4
437791486337737,Jim McMahon for Oldham West & Royton,Oldham West and Royton Constituency Labour Party,≤100,4
103983517639708,Torbay for Europe,Michael John Galsworthy,≤100,1
740113689704292,North Warwickshire 4 Europe,Michael John Galsworthy,≤100,1
116147889793108,"James McPhilemy for Cumbernauld, Kilsyth & Kirkintilloch East",Cumbernauld & Kilsyth Labour Party,≤100,6
236966756698661,Hope for Europe,Scientists for EU,≤100,1
1031902976975415,Vale of Glamorgan for Europe,Michael John Galsworthy,≤100,1
190104261193081,Gwent for Europe,Michael John Galsworthy,≤100,1
352145948590913,Fife4europe,Michael John Galsworthy,≤100,1
1420417804643372,Better By Bus,These ads ran without a disclaimer,≤100,2
276479323002922,St Neots and Huntingdon People's Vote,Michael John Galsworthy,≤100,1
716604611739931,Claire Wright - Independent Parliamentary Candidate For East Devon,Mrs Claire Louise Wright,≤100,7
1700421566925125,Greg Marshall,East Midlands Labour,≤100,5
204800493453106,North Hampshire for Europe,Michael John Galsworthy,≤100,1
779188675597466,Romsey Better in Europe,Michael John Galsworthy,≤100,1
356513565199772,Lincoln Against Brexit,Scientists for EU,≤100,1
1975276162525168,TW-IN,Michael John Galsworthy,≤100,1
346836899497254,Cllr Nesil Caliskan - Leader of Enfield Council,Ian David Barnes,≤100,1
1050896375014974,Perth4Europe,Michael John Galsworthy,≤100,1
102105001172975,Ribble Valley for Europe,Michael John Galsworthy,≤100,1
2098141487150238,Forest of Dean for Europe,Scientists for EU,≤100,1
191511674908595,Stamford for Europe,Michael John Galsworthy,≤100,1
417171275527188,Kirklees for Europe,Michael John Galsworthy,≤100,1
368404560236743,European Movement South West Surrey Branch EM_SWSurrey,Michael John Galsworthy,≤100,1
407402162736656,Labour East,The Labour Party,≤100,8
409221542957298,Wrexham For Europe,Michael John Galsworthy,≤100,1
111745026850464,Denbighshire For Europe,Michael John Galsworthy,≤100,1
717204985345634,Danny Chambers - North Cornwall Lib Dems,North Cornwall Liberal Democrats,≤100,2
483770125073467,Ian Murray for Edinburgh South,Ian Murray,≤100,9
159240661197359,Safe Passage,Safe Passage,≤100,1
424318011448332,Rotherham for Europe 2019,Michael John Galsworthy,≤100,1
476242995754233,PCS Union,PCS Union,≤100,1
100658927990036,Flintshire for Europe,Michael John Galsworthy,≤100,1
804606619646847,Kenneth H  Hind,Kenneth Haruard Hind,≤100,2
416060089125002,One Life One Tree,One Life One Tree Ltd,≤100,1
558984737865000,Grantham for a People's Vote,Michael John Galsworthy,≤100,1
122235409590,Annoushka Jewellery,Annoushka Jewellery,≤100,1
119857536086296,Beautiful News - Daily,Information Is Beautiful,≤100,5
134106130027796,Oxfordshire County Council,Oxfordshire County Council,≤100,2
120235764665422,Broxtowe Borough Council,Broxtowe Borough Council,≤100,8
112277206842015,David Watts for Newark,Newark and Southwell Liberal Democrats,≤100,3
1855314271382786,BeeBee Wraps,These ads ran without a disclaimer,≤100,9
148472115570506,Zeelo,Zeelo,≤100,2
1274780909265887,Jacob Rees-Mogg,Jacob Rees-Mogg,≤100,2
110536070348925,Aaron Bell for Newcastle-under-Lyme,Newcastle-under-Lyme Conservatives,≤100,4
147441315983117,Office of the Kent Police and Crime Commissioner,Kewh Michael Fairbank,≤100,1
435733199791488,Hastings and Rye Conservatives,Hastings and Rye Conservatives,≤100,2
107786057286925,Liverpool Hall,Amir Reza Soleymani,≤100,3
141843543096177,Jennifer Forbes Truro & Falmouth Labour,Michael Dennis Chapman,≤100,3
1507494585978427,Giles Watling,Giles Watling,≤100,1
450568105101647,Theresa Villiers,Mrs Theresa Villiers,≤100,3
1583076535046827,"Camborne, Redruth and Hayle Lib Dems","Camborne, Redruth and Hayle Liberal Democrats",≤100,11
312818886142427,Gary Sambrook,Birmingham Northfield Conservatives,≤100,3
692663397738642,Sandy Martin,The Labour Party,≤100,8
1910300655894009,Hastings and Rye Liberal Democrats,Lee Joseph Grant,≤100,6
1872018976425392,Peace With The Wild,These ads ran without a disclaimer,≤100,11
723999327619861,Councillor Steven Galton,Steven Graham P Galton,≤100,11
2127090637588799,Ryedale for Europe,Scientists for EU,≤100,1
114553463283847,Alex Yip,Alex Yip,≤100,1
1497007017259344,Alex Hegenbarth,Alexander Leslie Hegenbarth,≤100,5
479504198751798,Paul Scully,Sutton Borough Conservative Federation,≤100,1
163764147740743,Wilmslow for Europe,Scientists for EU,≤100,1
157011338475461,Luminary,These ads ran without a disclaimer,≤100,14
435919126754255,Jenny Chapman,The Labour Party,≤100,1
10114144851,NSPCC,These ads ran without a disclaimer,≤100,1
2672957916077525,Highclere Castle Gin,These ads ran without a disclaimer,≤100,4
175493313035501,Politrip,Patrick Johnson Brown,≤100,1
105117224241154,Eco Spray Foam,Stephen Barry Bruckshaw,≤100,3
1377965505551865,Travel Insurance Explained,Miss Rebecca Marie Kingsley,≤100,1
552996355160282,Carmarthenshire Conservatives,Carmarthen East & Dinefwr Conservatives,≤100,4
1463126643980071,Alex Rowley MSP,Alex Rowley,≤100,9
1408910789366538,The Circle,The Circle,≤100,1
325496818012944,Lewis North,Meon Valley Liberal Democrats,≤100,2
2283722578413672,Navendu Mishra for Stockport,The Labour Party. Promoted by C.Gleeson on behalf of Navendu Mishra.”,≤100,9
1469440439772080,Peter Lamb for Crawley,Peter Keir Lamb,≤100,1
228330598050619,The Taunton Deane Herald,Scott Marcus Berry,≤100,5
115289365261509,Burton and Uttoxeter Labour Party,Thomas James Hadley,≤100,2
854042824606596,Vix Lowthion -  a Green MP for the Isle of Wight,Miss Victoria Ann Lowthion,≤100,3
1796083587187345,Australian Glow,These ads ran without a disclaimer,≤100,1
1319207338165887,Another voice in West Berkshire,Stephen Michael Masters,≤100,3
985380408144684,"Helen Goodman, Bishop Auckland Constituency",The Labour Party,≤100,10
558562447492063,instantprint.,instantprint.,≤100,9
164445837533650,Remainer Now,Remainer Now,≤100,1
1865212320385679,Simon Fell,Barrow and Furness Conservative Association,≤100,1
391643007520822,Mid Suffolk Green Party,Mid Suffolk Green Party,≤100,11
1088924814452343,Braintree & Witham Liberal Democrats,Kate Rebecca Onions,≤100,2
780710048758810,Beaconsfield Constituency Conservative Association,Beaconsfield Conservatives,≤100,6
110440867058719,Will Sweet,Putney Conservatives,≤100,3
724752947648358,JanetDaby4LewishamEast,The Labour Party. Promoted by Joanna Wojna on behalf of Janet Daby,≤100,1
108238670527130,Robbie Moore,Robert Peter Moore,≤100,7
2155890578000382,Devizes for EU - resisting Brexit in the constituency,Scientists for EU,≤100,1
502566800215891,Scott Benton - Conservative candidate for Blackpool South,Scott Lloyd Benton,≤100,3
1879815185574670,Llanishen & Thornhill Labour Community News,Llanishen & Thornhill Labour Community News,≤100,4
118408512891321,Little Turtle Turns The Tide,CARVE Surfing Magazine,≤100,1
1410377375747614,Grahame Morris Parliamentary Candidate,Grahame Morris,≤100,4
547080065736587,Weaver Vale for Europe,Michael John Galsworthy,≤100,1
290292407662123,NHS 24,These ads ran without a disclaimer,≤100,5
1683955235167394,Radcliffe Labour Party,Rhyse Lewis Cathcart,≤100,2
275283499191111,Sadiq Khan,London Labour Party,≤100,3
1983481828559338,Councillor Lee Dillon - Parliamentary Candidate for Newbury,West Berkshire and Newbury Liberal Democrats,≤100,1
417171275527188,Kirklees for Europe,These ads ran without a disclaimer,≤100,1
420598411423796,Wera Hobhouse,Wera Benedicta Caecilie G A Hobhouse,≤100,4
108389903934751,Cheeky Brit,Cheeky Brit,≤100,22
938126169534790,Johnny For Plymouth,Johnny For Plymouth,≤100,3
112689840163167,Dominic Grieve for Beaconsfield,Patrick Johannes Lohlein,≤100,3
2305756482788316,Clean Planet Energy,Clean Planet Energy,≤100,1
2361260184130283,"Louis Adam, Lib Dem for Warwick & Leamington",Warwick District Liberal Democrats,≤100,3
437468390068879,David Pinto-Duschinsky for Hendon,The Labour Party,≤100,2
6574632957,Unlock Democracy,Unlock Democracy,≤100,4
26806660922,Humanists UK,Humanists UK,≤100,1
663238947481630,Richard Tice,The Brexit Party,≤100,2
1205495502907318,Emma Whysall for Chipping Barnet,The Labour Party,≤100,3
123344764529899,Alyson Barnes for Rossendale and Darwen,The Labour Party,≤100,2
175596232544607,Woking Conservatives,Woking Conservative Association,≤100,1
107357244036451,Working4UK,These ads ran without a disclaimer,≤100,1
535040816685041,West Midlands Combined Authority,West Midlands Combined Authority,≤100,3
616519808361378,Jo Stevens for Cardiff Central,Jo Stevens for Cardiff Central,≤100,1
21242962092,ClientEarth,ClientEarth,≤100,8
814863971892844,Adam Holloway,Adam Holloway,≤100,1
367779914070051,Markets365,Charles Brodie Agutter,≤100,1
1632026600406302,Stephen Lloyd,Stephen Lloyd,≤100,1
1654077128156713,Brentwood & Chelmsford Green Party & SWF Greens,Brentwood and Chelmsford Green Party,≤100,2
356295488545982,West Dorset Liberal Democrats,Robin Edward C Morello,≤100,1
100434704664847,Green Planet Beauty,Amanda Jane Cooper,≤100,14
1675013986073442,SE Cornwall Liberal Democrats,South East Cornwall Liberal Democrats,≤100,1
1984890328470019,Fleur for Putney,Robert Henry Scott,≤100,5
512667902158881,Harlow Labour Party,Harlow Labour Party,≤100,1
259435234412498,Watford Labour,Watford Labour Party,≤100,2
1569628153271237,West Mercia PCC,Gareth John Boulton,≤100,2
1661562817288393,Mid Sussex Liberal Democrats,Mid Sussex Liberal Democrats,≤100,3
750008315035564,Watford Liberal Democrats,Watford Liberal Democrats,≤100,2
716570405092640,St Albans Conservatives,Alexandra Harisha-Clark,≤100,4
359069334832633,Olivia Blake,the Labour Party,≤100,1
167898406587045,Holiday Extras,Holiday Extras,≤100,2
118713096203013,Stewart Douglas for Shetland,Stewart Douglas,≤100,4
1439104803053363,Samuel Hague Illustration,Samuel James Hague,≤100,2
415209345325893,Jess Phillips,Jess Phillips,≤100,4
1944644765749384,David Rutley,The Conservative Party,≤100,1
1828105897438760,East London for Europe / London East - Anti Brexit,Michael John Galsworthy,≤100,1
265680680782145,Peter Gibson For Darlington,Peter Gibson for Darlington,≤100,7
100158426845642,Yorkshire Water,These ads ran without a disclaimer,≤100,1
166545980641543,"Mark Eastwood For Dewsbury, Mirfield, Kirkburton and Denby Dale.",The Conservative Party,≤100,1
2487835701441674,Lambeth for Europe,Michael John Galsworthy,≤100,1
106139784136535,Natalie Park for Much Wenlock,Matt Park,≤100,2
227817900673886,Jake Berry MP,Jake Berry MP,≤100,2
1392092044365417,London Borough of Waltham Forest,London Borough of Waltham Forest,≤100,1
263875040857952,James Cox for Bristol West,Liberal Democrats,≤100,5
103999284336658,Mark Logan,Mark Rory Logan,≤100,5
125202177650537,Alex Cunningham MP,Dr Lewis Young,≤100,4
343940349600472,One You Surrey,Miss Rochelle Alexandra Gayle,≤100,1
2449574395105133,DavidCampanale4MP,the Liberal Democrats,≤100,2
807799369244851,Matt Rodda,Reading Labour. Promoted by Carl Doran on behalf of Matt Rodda,≤100,1
608449395902487,Voting Counts,Voting Counts,≤100,3
413739912359231,Holly Mumby-Croft,HOLLY MUMBY-CROFT,≤100,2
102573181133123,James Willis for Maidstone and the Weald,Maidstone Liberal Democrats,≤100,1
184397788245817,Portsmouth Liberal Democrats,Simon John Sansbury,≤100,5
411450196264363,Titan Power+,These ads ran without a disclaimer,≤100,1
255568980598,Alun Cairns,Alun Cairns MP,≤100,1
381745985188961,Deputy.com,These ads ran without a disclaimer,≤100,5
780774828620986,SHO,These ads ran without a disclaimer,≤100,2
105430547557637,Team Penning,Ronald Allen Moss,≤100,4
567275553397220,EU IN BRUM,Scientists for EU,≤100,1
988982744552590,Ian Lavery MP,The Labour Party,≤100,3
332503397594935,Stuart Anderson,Stuart Paul Anderson,≤100,4
754655137964859,Rachael Maskell MP,Rachael Maskell MP,≤100,1
106240557418098,Toni Brodelle - Working for Wycombe,Ian Douglas Morton,≤100,1
2341361016087771,Bruce Wilson for Edinburgh North and Leith,Bruce Roy Wilson,≤100,2
782447081914612,Paul Girvan for South Antrim,William Paul Girvan,≤100,2
1663290170549645,Wokingham Labour Party,Andrew Crawford Croy,≤100,2
109231027122747,Andrew Mitchell,Liam Michael Abrahams,≤100,1
982606878542677,Marsha de Cordova,London Labour Party,≤100,3
234725726985897,Judith Cummins,The Labour Party. Promoted by Bradford South CLP on behalf of Judith Cummins.,≤100,2
404900139669473,Angela Crawley for Lanark and Hamilton East,Josh Wilson,≤100,2
1701005843526193,Surrey Heath Conservatives,Suzanna Elizabeth Coul,≤100,3
103340327775919,JobStacks,These ads ran without a disclaimer,≤100,1
1331084736996091,Laura 4 Harlow,The Labour Party,≤100,3
119111479481001,Richard Benwell 2019,Wantage Constituency Liberal Democrats,≤100,1
992519954091706,Kit Malthouse - Conservative Candidate NW Hants,Kit Malthouse,≤100,1
377369912904579,Lorna Tooley for NEC,Lorna Jane Tooley,≤100,1
106048930814474,Francesca O'Brien for Gower,Lewis Alexander Wood,≤100,1
158240861546849,Matt Kerr for Glasgow South West,Jessica Emily Galloway,≤100,2
382793315820322,James Daly for Bury North,Bury North Conservatives,≤100,1
183442431556,City Lit,City Lit,≤100,1
113924459987862,Alex Beverley,Alexandra Marcella Beverley,≤100,1
55275672093,Natracare,Natracare,≤100,3
886968011353216,Stephen Crabb,Preseli Pembrokeshire Conservatives,≤100,2
100901717994113,Tim Page Brexit Party PPC North Dorset,"Mr Howard John Parfitt on behalf of Tim Page, North Dorset Parliamentary candidate for The BREXIT Party",≤100,4
992952320734045,Craig Whittaker,Calder Valley Conservatives,≤100,3
1847443202232495,Jo Pike for Shipley Constituency,the Labour Party,≤100,1
807799369244851,Matt Rodda,The Labour Party. Promoted by Carl Doran on behalf of Matt Rodda,≤100,5
232314400155033,Stirling SNP,Stirling Scottish National Party (SNP),≤100,4
112564222260460,Andrew George,Andrew George,≤100,2
820967017967609,Gideon Amos,Taunton Deane Liberal Democrats,≤100,3
102157777816071,Anthony Browne for South Cambridgeshire,South Cambridge Conservative Association,≤100,3
104099367697689,Sam Gyimah,Samuel Phillip Gyimah,≤100,3
38824300956,White Heat,White Heat,≤100,1
674727076001950,Gosport Liberal Democrats,Peter John Chegwyn,≤100,2
114612673270510,Carlisle Liberal Democrats,Carlisle Liberal Democrats,≤100,2
1846526838930401,Iain Duncan Smith MP,Tabitha Christi Wade,≤100,1
273709532781140,James Heappey,Wells Conservative,≤100,1
47625103883,Blacksmith,Cameron James Wysocki,≤100,1
165419234746,Full Fact,Full Fact,≤100,2
408761149529220,Chislehurst Conservatives,Suraj  Sharma,≤100,2
347937188644002,The Better Body Guru,Ashley Howard Mason Green,≤100,8
216223538890115,Hartlepool Labour Party,Hartlepool Labour Party,≤100,1
686077084751385,Lee Rowley,North Derbyshire Conservatives,≤100,1
1889680157988068,Eleanor Smith Labour candidate for Wolverhampton South West,The Labour Party. Promoted by Robert Blincoe on behalf of Eleanor Smith,≤100,6
273762566417823,Re-elect Martin Whitfield,East Lothian Labour Party,≤100,2
122492429138590,Alasdair Pinkerton for Surrey Heath,Surrey Heath Liberal Democrats,≤100,1
379785212767384,Miles More Drivers Club,Anthony Joseph Curran,≤100,1
344689815623204,Yardley Liberal Democrats,Yardley Liberal Democrats,≤100,1
655367704818679,Socialist Workers Party,Socialist Workers Party,≤100,1
153260935350160,Ladywood Online,Ladywood ward Liberal Democrats,≤100,2
470873686267967,Tom Watson,The Labour Party,≤100,3
741539582653180,Vlad Vexler,Vladislav Vexler,≤100,8
550406795055088,Catherine Atkinson,The Labour Party,≤100,2
102729317844041,Franco D'Aulerio - Brexit Party PPC - West Bromwich West,The Brexit Party,≤100,3
318023232305444,Enjoy The Show,Garry Andrew Cook,≤100,1
390571277716574,Triggerbuddy,These ads ran without a disclaimer,≤100,2
1322369741129021,Rushcliffe Liberal Democrats,Victoria Marie Price,≤100,4
111263798903232,The Spectator,The Spectator,≤100,1
799676273759668,Jonathan Gullis,The Stoke-on-Trent Conservative Party,≤100,1
126827520750537,Child Rescue Nepal,Joanna Mary Bega,≤100,6
119358946125899,Dr Luke Evans,Bosworth Conservative Association,≤100,2
220543443746,International Rescue Committee - UK,International Rescue Committee UK,≤100,1
113917283340194,Chris Coleman for Bristol North West,Christopher Francis Coleman,≤100,5
419662798462222,Jay Singh-Sohal,Jagjit Singh Sohal,≤100,1
259933874379,Subtle Yoga with Kristine Weber,These ads ran without a disclaimer,≤100,4
625123580920707,Portsmouth Labour,Portsmouth Labour Party,≤100,4
1208239832675737,Aphra Brandreth,Kingston & Surbiton Conservative Association,≤100,2
100434704664847,Green Planet Beauty,These ads ran without a disclaimer,≤100,1
1809710365746929,Lauren Dingsdale,Middlesbrough South and East Cleveland Constituency Labour Party,≤100,1
1580633408837996,Neil Gray,Neil Gray,≤100,9
107750413893966,Luke Taylor Lib Dem for Mitcham and Morden,Merton Liberal Democrats,≤100,5
119759522763220,Aled ap Dafydd,Aled ap Dafydd - Plaid Cymru,≤100,3
255030034903788,Dr. Rajiv J. Shah,These ads ran without a disclaimer,≤100,2
25852730092,Care2,These ads ran without a disclaimer,≤100,2
411255439256125,Vicky Foxcroft,The Labour Party. Promoted by Reshima Sharma on behalf of Vicky Foxcroft.,≤100,1
1536907409957635,Matt Vickers: Standing up for Stockton South,Matthew Alexander Vickers,≤100,2
114758323268600,Charles Bunker,Charles Spencer Bunker,≤100,2
1414256932217267,Wessex Motors,These ads ran without a disclaimer,≤100,1
726363564082624,Isle of Wight Green Party,Miss Victoria Ann Lowthion,≤100,1
963029853872343,Bywire News,Bywire News,≤100,5
136689709773858,Michael Heaver MEP,Michael Heaver,≤100,3
116323656438209,Tiverton & Honiton Conservatives,Tiverton & Honiton Conservatives,≤100,1
161234067223502,KLARA from Sweden,David Chase,≤100,22
106807100733988,Claire Gill for Blackburn,Claire Rosalyn Gill,≤100,5
734997656574635,"Marc Tierney, Carms West & South Pembs",Carms West & South Pembrokeshire Labour Party,≤100,3
549773985447570,Echologika,Colin Peter Wells,≤100,2
112260940178643,Victoria Collins standing for Poole,Poole Liberal Democrats,≤100,1
1832745490348655,Karen Davis - Labour Parliamentary Candidate for Norwich North,The Labour Party,≤100,1
386362281469092,Will Quince,William James Quince,≤100,2
431121066907274,Article18,Mansour  Borji,≤100,1
1264594260376563,Rural Energy Saving Grants,Thomas John Metcalfe,≤100,1
212399412133330,Labour First,Labour First,≤100,2
549904691843347,Oxfordshire Liberal Democrats,Timothy Martin Bearder,≤100,1
286909715275437,Laura Walker - Yorkshire Party,Mrs Laura Marie Walker,≤100,3
381242352497958,Global News & Media Organisation Ltd,Global News & Media,≤100,2
296817660515308,NHS in Coventry and Rugby,These ads ran without a disclaimer,≤100,1
345799038815187,Castle Point Conservatives,Andrew Graham Sheldon,≤100,2
